ID,Sirsi Value,Preferred Label,URI,Country Name,Admin Name,Feature Class
873ccd02-639d-38ca-8d76-3aca0849d365,"[Agawam, MA] :, Germany",,,,,
8578c07d-b42e-359f-9b78-306a23ce48b0,"[Petersburg :, Virginia",Petersburg,https://sws.geonames.org/4778626/,United States,Virginia,P
9eaf2ddf-9b6b-3790-9a62-0f1c56a248bf,"[Petersburg, Va. :, Virginia",Petersburg,https://sws.geonames.org/4778626/,United States,Virginia,P
9915a74c-bce6-3b10-8b1f-680522ac1a88,"[Richmond, Va. :, Virginia",Richmond,https://sws.geonames.org/4781708/,United States,Virginia,P
f82c0af2-2079-3973-a584-1ec3a5867a88,"[Virginia? :, Virginia",Virginia,https://sws.geonames.org/6254928/,United States,Virginia,A
0350082b-a701-3d19-ae3d-974c279cfa45,"191-?], Virginia",,,,,
c007eb23-face-3156-a67f-d41d8ed3f783,"A Amsterdam, Netherlands",Amsterdam,https://sws.geonames.org/2759794/,The Netherlands,North Holland,P
660442b8-356c-3807-bb10-97af19e7f18f,"a Amsterdam, Netherlands",Amsterdam,https://sws.geonames.org/2759794/,The Netherlands,North Holland,P
78260b9a-a08b-368f-a6db-facba5a4b982,"A Geneve, Switzerland",Geneva,https://sws.geonames.org/2660646/,Switzerland,Geneva,P
aa4e649c-0b19-3c11-9290-a9966a86212a,"A La Rochelle, France",La Rochelle,https://sws.geonames.org/3006787/,France,Nouvelle-Aquitaine,P
f1f7c47e-f155-3a3f-985e-43732278e3cb,"A la Rochelle, France",La Rochelle,https://sws.geonames.org/3006787/,France,Nouvelle-Aquitaine,P
1b21eb66-79f6-34b8-b590-05680a3cfbdb,"A Lion, France",Lyon,https://sws.geonames.org/2996944/,France,Rhône-Alpes,P
a4fde29e-5088-3583-b274-e2f1fb361118,"A Lyon, France",Lyon,https://sws.geonames.org/2996944/,France,Rhône-Alpes,P
3dea8db0-fe62-3110-9ceb-de8ba5ced231,"À Lyon, France",Lyon,https://sws.geonames.org/2996944/,France,Rhône-Alpes,P
842a9cdb-a348-3cab-b85b-f6283788dadb,"A Paris, France",Paris,https://sws.geonames.org/2988507/,France,Île-de-France,P
f7f312de-a4f5-3ca5-bae5-7dc43e79e35c,"Á Paris, France",Paris,https://sws.geonames.org/2988507/,France,Île-de-France,P
081870c2-4eec-33e5-ad29-491bd575de45,"A Poitiers, France",Poitiers,https://sws.geonames.org/2986495/,France,Nouvelle-Aquitaine,P
5905882c-40b7-3a70-8da8-340541e50380,"A Rouen, France",Rouen,https://sws.geonames.org/2982652/,France,Normandy,P
73b00ef7-b3c6-314d-9cb9-b1b3c49a7afe,"A Tours, France",Tours,https://sws.geonames.org/2972191/,France,Centre-Val de Loire,P
e035cea3-a1c3-31bf-be64-b1157f7c795a,"A Ville-Franche, France",Villefranche-sur-Mer,https://sws.geonames.org/2968749/,France,Provence-Alpes-Côte d'Azur,P
9af9cd4c-2ac8-3026-90af-cc8fa9aa8e46,"A' Venise, Italy",Venice,https://sws.geonames.org/3164603/,Italy,Veneto,P
7604541a-4594-335b-a96e-2b7fd37c1222,"A'Paris, France",Paris,https://sws.geonames.org/2988507/,France,Île-de-France,P
7708b239-d9e2-3bee-b250-c1eefb87b349,"Abingdon, Virginia",Abingdon,https://sws.geonames.org/4743815/,United States,Virginia,P
f5325f1a-ee3c-3fba-99b1-113cb7d120be,"Albany, N.Y, New York (State)",Albany,https://sws.geonames.org/5106834/,United States,New York,S
66081699-5f0e-3bc5-b6cb-8869cbcd63ef,"Albany, N.Y.?, New York (State)",Albany,https://sws.geonames.org/5106834/,United States,New York,S
c6e04bb1-747b-3cff-ba9a-e311de260c0c,"Aldie, Virginia",Aldie,https://sws.geonames.org/4744067/,United States,Virginia,P
a8d05f38-97fe-3da6-8c00-b81893e8d3c2,"Alexandria? Va, Virginia",Alexandria,https://sws.geonames.org/4744091/,United States,Virginia,P
650ec8d5-4d75-3470-8eda-3209b0281051,"Allentown, Pa, Pennsylvania",Allentown,https://sws.geonames.org/5178127/,United States,Pennsylvania,P
2c604921-18ac-3497-994b-225e8635dd7b,"America: Boston, Massachusetts",Boston,https://sws.geonames.org/4930956/,United States,Massachusetts,P
d01836ef-db77-3b02-b9d8-f6a10adb867c,"Amersham], England",Amersham,https://sws.geonames.org/2657356/,United Kingdom,England,P
06b82f0e-b709-36b2-9a28-9565289db1d7,"Amsterdam, Netherlands",Amsterdam,https://sws.geonames.org/2759794/,The Netherlands,North Holland,P
3a68a44d-20e6-3125-abda-83a5b6a0a44b,"Annapolis, Md, Maryland",Annapolis,https://sws.geonames.org/4347242/,United States,Maryland,P
1995bab7-20e7-3383-9a2f-343fe38a6f60,"Antwerp, Netherlands",Antwerp,https://sws.geonames.org/5107253/,United States,New York,P
c5de7666-434a-3dbc-9095-bdc7413962e0,"Antwerp], Belgium",Antwerp,https://sws.geonames.org/2803138/,Belgium,Flanders,P
335ecf43-da06-32a5-b693-0b69cbb19121,"Athens, Ga, Georgia",Athens,https://sws.geonames.org/4180386/,United States,Georgia,P
b5ba236c-d62b-3aec-94dc-0972d7b6c367,"Atlanta, Ga, Georgia",Atlanta,https://sws.geonames.org/4180439/,United States,Georgia,P
17c2c90a-7c93-3960-8e17-fb34899c2027,"Atlanta, Georgia",Atlanta,https://sws.geonames.org/4180439/,United States,Georgia,P
204817bd-b2b4-39af-95ce-cb7d8a29ec47,Atlantic Coast (U.S.),East Coast,https://sws.geonames.org/12212303/,United States,,L
c3fc601b-e784-3bb3-b9ab-45083a68dd6b,"Augusta, Ga, Georgia",Augusta,https://sws.geonames.org/4180531/,United States,Georgia,P
0cfc8de2-462a-3f5c-9b39-4039fbf06118,"Baltimore (Baltimore St., Baltimore), Maryland",Baltimore,https://sws.geonames.org/4347778/,United States,Maryland,P
43b0b6c5-3501-303b-9df8-cd37f1720faf,"Baltimore [Md.], Maryland",Baltimore,https://sws.geonames.org/4347778/,United States,Maryland,P
3a735163-c69f-31a6-9dff-d683618e0ffe,,,,,,
22f46322-102d-3315-8bff-eebd198ad4da,"Baltimore, Kentucky",Baltimore,https://sws.geonames.org/4283088/,United States,Kentucky,P
065bd352-1090-3d80-b78e-09fdf50bfc9f,"Baltimore, Maryland",Baltimore,https://sws.geonames.org/4347778/,United States,Maryland,P
01db8d18-8dcc-3b89-8581-bc6667c0c054,"Baltimore, Md, Maryland",Baltimore,https://sws.geonames.org/4347778/,United States,Maryland,P
91eeca1a-9036-32cb-a5c1-7da595bc7ba6,"Baltimore?, Maryland",Baltimore,https://sws.geonames.org/4347778/,United States,Maryland,P
80c1694c-aa3b-3d38-b548-c411b808af17,"Baltimore], Maryland",Baltimore,https://sws.geonames.org/4347778/,United States,Maryland,P
7b896d13-8fdd-3111-87f1-ad00db45c3df,"Baton Rouge? La, Louisiana",Baton Rouge,https://sws.geonames.org/4315588/,United States,Louisiana,P
ecfdc687-0269-309c-ae61-93cf4f4399d8,"Bedford, Pa, Pennsylvania",Bedford,https://sws.geonames.org/5179633/,United States,Pennsylvania,A
a1a6dab2-bcab-30d5-957b-9025d7d65193,"Berlin, Germany",Berlin,https://sws.geonames.org/2950159/,Germany,State of Berlin,P
765bfa97-1a4a-34d0-92ff-9a906ae61dba,"Berlin, New York (State)",New Berlin,https://sws.geonames.org/5128465/,United States,New York,P
6cb0abf3-2772-3444-b6b6-be1d58b5a0ef,"Big Stone Gap, Va, Virginia",Big Stone Gap,https://sws.geonames.org/4747554/,United States,Virginia,P
6580803b-b6ae-34e8-8f9c-99c147e15953,"Birmingham?, Alabama",Birmingham,https://sws.geonames.org/4049979/,United States,Alabama,P
137d8106-9f55-3f66-9a90-7964bf74502f,"Bonn, Germany",Bonn,https://sws.geonames.org/2946447/,Germany,,P
82f89004-2404-394f-8949-eb49069e795a,"Boston, Mass, Massachusetts",Boston,https://sws.geonames.org/4930956/,United States,Massachusetts,P
c2fbe83a-dc56-3015-914b-d71bda72b66d,"Boston, Mass.], Massachusetts",Boston,https://sws.geonames.org/4930956/,United States,Massachusetts,P
aaceb25a-ff1e-31bb-9f2f-883e5978a5a3,"Boston, Mass.], United States",Boston,https://sws.geonames.org/4930956/,United States,Massachusetts,P
602f0039-ad90-356e-85dc-13a9c7e8d6f9,"Boston, Massachusetts",Boston,https://sws.geonames.org/4930956/,United States,Massachusetts,P
393c8ca5-9c98-3633-a086-92afeedbcbcf,"Boston, Pennsylvania",Boston,https://sws.geonames.org/5181238/,United States,Pennsylvania,P
b02f3571-aaf2-32c1-a786-6858c8a0c836,"Boston, United States",Boston,https://sws.geonames.org/4930956/,United States,Massachusetts,P
b1d794cf-eb9a-34a5-9146-1515821168a7,"Boston, Virginia",South Boston,https://sws.geonames.org/4786522/,United States,Virginia,P
869e12ea-dc7c-3f5e-bbef-4eefcbe90847,"Boston?, Massachusetts",Boston,https://sws.geonames.org/4930956/,United States,Massachusetts,P
cf8fee13-01ee-3d5f-abc9-efc6263f86c0,"Boston], Massachusetts",Boston,https://sws.geonames.org/4930956/,United States,Massachusetts,P
edeab869-a92a-3b7e-8b7c-3519f92bb42c,"Brooklyn, N.Y, New York (State)",Brooklyn,https://sws.geonames.org/5110302/,United States,New York,P
88ffce29-67b7-37ba-a6a3-cff5fe549e6c,"Brooklyn, New York, New York (State)",Brooklyn,https://sws.geonames.org/5110302/,United States,New York,P
81195cde-1892-33c7-addc-cef1cda495ae,"Buenos Aires?, Argentina",Buenos Aires,https://sws.geonames.org/3435910/,Argentina,Buenos Aires F.D.,P
27c73052-b909-3b5f-91c2-bdf555e5abd3,"Buffalo, New York (State)",Buffalo,https://sws.geonames.org/5110629/,United States,New York,P
80deb12f-6aa2-3547-913b-95968cd30093,"Cambridge, Massachusetts",Cambridge,https://sws.geonames.org/4931972/,United States,Massachusetts,P
e1d6c262-9876-3386-9e3f-d1bb01706483,"Charleston, South Carolina",Charleston,https://sws.geonames.org/4574324/,United States,South Carolina,P
dcb16849-08ca-3337-8460-ef3d6b69c4a2,"Charlottesville [Va.], Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
90e6bbc8-0944-34c9-8fd7-e4c4bd1e8c86,"Charlottesville, Va, District of Columbia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
78ce6a83-056a-3a3a-b574-5da11498de9d,"Charlottesville, Va, Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
807ee5e0-2e63-33d4-8b8f-1c3ddb26c151,"Charlottesville, VA, Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
5a34383e-569d-3743-939e-cd3e2f65cdf4,"Charlottesville, Va?, Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
53b9990e-9d9a-3fb1-a783-d71b60f376e7,"Charlottesville, Va. :, Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
9b73875a-cb93-3801-b08f-967689194ce5,"Charlottesville, Va.?, Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
d189fe7c-c11a-395e-bdb2-68a2f08fb0b6,"Charlottesville, Va.], Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
30450851-163b-3822-9dc4-9e52e761d6a7,"Charlottesville, Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
cbd349a5-d95a-38fb-8938-30b9de665b5d,"Charlottesville? Va, Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
64098ac5-90c2-39b4-89af-f91d85e5607f,"Charlottesville? Va.], Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
6e0391b7-7865-3f44-b0fb-6736a0959d3b,"Charlottesville?], Virginia",Charlottesville,https://sws.geonames.org/4752031/,United States,Virginia,P
280cdbff-2fec-37e2-9e18-33a28f5a6ae3,"Chicago, Illinois",Chicago,https://sws.geonames.org/4887398/,United States,Illinois,P
3fe8403a-b1a7-3969-b058-abf765c198b4,"Chicago, Illinois, New York (State)",Chicago,https://sws.geonames.org/4887398/,United States,Illinois,P
2bda1ab4-4622-32ed-a985-9735d0097ad6,"Chicago, New York (State)",,,,,
db37817c-8032-35b6-b5a1-41dc0a69c506,"Chicago, Ohio",,,,,
21b03b8b-cec0-3d1f-8ff2-41d29de98df6,"Chicago, Wisconsin",,,,,
e3639d48-86e8-3d27-8b00-d8c4041c61b9,"Chicago], Illinois",Chicago,https://sws.geonames.org/4887398/,United States,Illinois,P
b51602c0-bb0f-300a-adef-bd11f1f93df5,"Cincinnati, O, Ohio",Cincinnati,https://sws.geonames.org/4508722/,United States,Ohio,P
0e3a2a43-1205-3258-970b-580ca7b6b49f,"Cincinnati, Ohio",Cincinnati,https://sws.geonames.org/4508722/,United States,Ohio,P
7a6f3da3-b3fe-3881-9247-64bb66a1e3c4,"Cincinnati, Ohio (Pike's Opera Building, Cincinnati), Ohio",Pike's Opera House (historical),https://sws.geonames.org/7125747/,United States,Ohio,S
de717ffb-0a93-388e-a1c8-6286bc2ed795,"Cincinnati, Ohio, Ohio",Cincinnati,https://sws.geonames.org/4508722/,United States,Ohio,P
7b9def4e-0327-358f-a5c0-80645d5519d6,"Cincinnati, United States",Cincinnati,https://sws.geonames.org/4508722/,United States,Ohio,P
8dd1bb04-9141-33d3-8865-d2ddab8eb3ea,"Cincinnati:, Ohio",Cincinnati,https://sws.geonames.org/4508722/,United States,Ohio,P
3dcf846b-29f9-34d6-9db1-526e8ae3cc45,"Cincinnati? Ohio, Ohio",Cincinnati,https://sws.geonames.org/4508722/,United States,Ohio,P
2ca999c0-a134-322b-a933-279a38414fea,"Cismont, Va, Virginia",Cismont,https://sws.geonames.org/4752876/,United States,Virginia,P
b2807b71-b37b-3168-be75-0c3036e41999,"Clarksville, Va, Tennessee",Clarksville,https://sws.geonames.org/4613868/,United States,Tennessee,P
00c9ed92-ebc8-3dc1-8a75-035295c43880,"Cleveland, Ohio",Cleveland,https://sws.geonames.org/5150529/,United States,Ohio,P
afd54f4f-0c2a-3107-9a15-efb1d1d6a26e,"Cleveland, Ohio, Ohio",Cleveland,https://sws.geonames.org/5150529/,United States,Ohio,P
b65e4c47-f8e5-34a2-a05e-4e9cb4840389,"Cleveland?, United States",Cleveland,https://sws.geonames.org/5150529/,United States,Ohio,P
adfc3e74-a0e7-3140-a46c-f620685490ca,"Clifton Forge, Va, Virginia",Clifton Forge,https://sws.geonames.org/4753158/,United States,Virginia,P
d42ca7b3-aa32-3c5a-959d-2aea358b0f14,"Cologne, Germany",Cologne,https://sws.geonames.org/2886242/,Germany,North Rhine-Westphalia,P
95a5eeed-7fcc-3a62-83ca-c17605828d8b,"Columbia, S.C, South Carolina",Columbia,https://sws.geonames.org/4575352/,United States,South Carolina,P
f15511e8-ebe9-36b2-9823-bf4556e98d09,"Columbia, S.C, Virginia",Columbia,https://sws.geonames.org/4575352/,United States,South Carolina,P
db063858-595f-3c3d-9cbf-4509176d1e41,"Concord, N.H, New Hampshire",Concord,https://sws.geonames.org/5084868/,United States,New Hampshire,P
90c391f5-883a-324a-a83c-605290bcb5ad,"Concord, Va, Virginia",Concord,https://sws.geonames.org/4753820/,United States,Virginia,P
b37cb2f2-bb24-3ebd-912a-0eb49894ff7e,"Culpeper, Va, Virginia",Culpeper,https://sws.geonames.org/4754966/,United States,Virginia,P
f801c219-0460-3d2d-8e1c-c62295ef9e74,"Danvers, Massachusetts",Danvers,https://sws.geonames.org/4934500/,United States,Massachusetts,P
36e461c0-cb9a-3061-bb89-7039318f723b,"Dayton, Va, Virginia",Dayton,https://sws.geonames.org/4755491/,United States,Virginia,P
7eb98fb2-5be8-3d32-8d39-c690076e1265,"Deland, Fla, Florida",DeLand,https://sws.geonames.org/4152890/,United States,Florida,P
c6373348-cf48-3b80-bcf3-4723d3e6e3ea,"Detroit, Missouri",,,,,
60c364dd-1899-3c38-8481-5a2a65f3e5e8,"Detroit], Michigan",Detroit,https://sws.geonames.org/4990729/,United States,Michigan,P
a4842352-06ee-3eea-b865-91c2478f5314,"Dublin, England",,,,,
196a470e-3e64-3bc3-9604-ff2cdf1af4cb,"Dublin, Ireland",Dublin,https://sws.geonames.org/2964574/,Ireland,Leinster,P
32bc2603-9f07-360b-9525-eee24a426c18,"Duisberg, Germany",Duisberg,https://sws.geonames.org/2934692/,Germany,Schleswig-Holstein,S
adfad8ae-fe7e-32e1-b38e-eff1805b4bb7,"Dunfermline, Scotland",Dunfermline,https://sws.geonames.org/2650732/,United Kingdom,Scotland,P
960c9a2e-736b-3d2f-a123-e336b6c52c43,East (U.S.),East Coast,https://sws.geonames.org/12212303/,United States,,L
abd92213-69ec-3ccc-b4ac-0cbb4d910695,"East Liverpool, Ohio, Ohio",East Liverpool,https://sws.geonames.org/5152709/,United States,Ohio,P
920f34c9-db63-38a3-8706-f096219e92d0,"Edinburgh, England",Edinburgh,https://sws.geonames.org/2650225/,United Kingdom,Scotland,P
9efdab75-303b-3354-8878-b61a3ec70389,"Edinburgh, Scotland",Edinburgh,https://sws.geonames.org/2650225/,United Kingdom,Scotland,P
53aa35ab-c70c-3725-b943-e3aed5e9b817,"Edinburgh?, Scotland",Edinburgh,https://sws.geonames.org/2650225/,United Kingdom,Scotland,P
d93aa5fc-1555-3752-854e-630eac9e8fed,"En Amsterdam, Netherlands",Amsterdam,https://sws.geonames.org/2759794/,The Netherlands,North Holland,P
21bc8e32-b34a-3657-9714-bbce7e8633f2,"En Madrid, Spain",Madrid,https://sws.geonames.org/3117735/,Spain,Madrid,P
d6823a7c-4140-397c-8491-c319bd315e98,"Exeter, New Hampshire",Exeter,https://sws.geonames.org/5085966/,United States,New Hampshire,P
89615e03-57ca-3d30-8582-189fbf458fb6,"Fauquier County, Va, Virginia",Fauquier County,https://sws.geonames.org/4758541/,United States,Virginia,A
396e66ec-54ac-32dc-8261-36a4d2548aba,"Flint Hill, Rappahannock County, Va, Virginia",Flint Hill,https://sws.geonames.org/4759389/,United States,Virginia,P
5711be05-b0e7-3aef-b8e1-470109aafe7c,Florida,Florida,https://sws.geonames.org/4155751/,United States,Florida,A
b8c2275a-97d7-3d6e-a3fc-a771488515b4,"France, France",France,https://sws.geonames.org/3017382/,France,,A
4a0e3b93-2062-3cc7-8eaa-6e11466511f7,"France?, France",France,https://sws.geonames.org/3017382/,France,,A
f96e1860-4ac7-311d-a69b-083406307831,"Frankfort? Ky, Kentucky",Frankfort,https://sws.geonames.org/4292188/,United States,Kentucky,P
1bdd64fa-918e-334c-a7dd-86d00ee30ae3,"Fredericksburg, Va, Virginia",Fredericksburg,https://sws.geonames.org/4760059/,United States,Virginia,P
fdd4c02f-fd42-3eb0-b8ef-642c482c9ae2,"Fredericksburg? Va, Virginia",Fredericksburg,https://sws.geonames.org/4760059/,United States,Virginia,P
9402916b-6f4e-33c2-ba74-131bc1d30f2a,"Geneva, Switzerland",Geneva,https://sws.geonames.org/2660646/,Switzerland,Geneva,P
1054d4ad-8373-3a50-aa2d-aeb86b2d22fc,"Geneve?, Switzerland",Geneva,https://sws.geonames.org/2660646/,Switzerland,Geneva,P
d0a669de-9070-3588-94f5-9cef2e11b649,"Gordonsville, Va, Virginia",Gordonsville,https://sws.geonames.org/4761471/,United States,Virginia,P
aebe5b5a-d538-3b2f-910d-105fc63365f6,Great Britain,United Kingdom,https://sws.geonames.org/2635167/,United Kingdom,,A
d89e50a7-cad3-3f16-944e-946afffdf793,"Grimma, Germany",Grimma,https://sws.geonames.org/2917325/,Germany,Saxony,P
20bde40e-e0b9-30ad-b85d-7171ffba1281,"Hampton, N.Y.?, New York (State)",Hampton,https://sws.geonames.org/5119897/,United States,New York,P
34107b6a-48b4-34ca-b51f-cfe50d33a6a5,"Harrisonburg, Va, Virginia",Harrisonburg,https://sws.geonames.org/4763231/,United States,Virginia,P
5e06d538-60c6-3f64-83a8-10aba4ea7aaa,"Harrisonburg, Va.], Virginia",Harrisonburg,https://sws.geonames.org/4763231/,United States,Virginia,P
dd5c6ebe-31d9-32c6-a917-fa80a08da4de,"Harrisonburg, Virginia",Harrisonburg,https://sws.geonames.org/4763231/,United States,Virginia,P
8561abdf-44be-383c-a80d-33e4108c6829,"Hartford, Conn, Connecticut",Hartford,https://sws.geonames.org/4835797/,United States,Connecticut,P
f0010ae0-2506-3e72-8b08-7bdb36758c71,Henrico County,Henrico County,https://sws.geonames.org/4763688/,United States,Virginia,A
1139a08b-83e2-3da1-a43c-988a1332efb4,"Henry County, Virginia, Virginia",Henry County,https://sws.geonames.org/4763710/,United States,Virginia,A
6e09bbb1-aa24-3b23-bb31-66faa811e039,"Hot Springs, Va, Virginia",Hot Springs,https://sws.geonames.org/4765054/,United States,Virginia,P
12eb73af-0829-3fc6-a5a4-f83b9c1df870,"Houston, Tex, Texas",Houston,https://sws.geonames.org/4699066/,United States,Texas,P
b99b4ce2-6ad3-3587-9d70-1b2b5464d06f,Hudson,Hudson,https://sws.geonames.org/5087752/,United States,New Hampshire,P
6b2617cd-53d4-3f1d-966c-1318b030f7a8,"Hudson? N.H, New Hampshire",Hudson,https://sws.geonames.org/5087752/,United States,New Hampshire,P
b2c8ff92-6487-3acc-863d-80670e31e36e,"In Colonia, Germany",Cologne,https://sws.geonames.org/2886242/,Germany,North Rhine-Westphalia,P
6f70183c-88b0-3638-92dc-f481f836326d,"In Roma, Italy",Rome,https://sws.geonames.org/3169070/,Italy,Lazio,P
0c53a346-d99c-384b-bb4f-d7b805a61930,"Indianapolis, Kentucky",,,,,
cc84beba-d364-320d-a499-1afb2ddf3bc8,"Iron Gate, Va, Virginia",Iron Gate,https://sws.geonames.org/4766137/,United States,Virginia,P
867bc385-dff9-3a23-94f0-cdda675a74ce,"Kingston, N.Y, New York (State)",Kingston,https://sws.geonames.org/5123477/,United States,New York,P
7a134998-18df-32cd-906a-ec59f0a8369c,"Kjöbenhavn, Denmark",Copenhagen,https://sws.geonames.org/2618425/,Denmark,,P
4546c9f5-8e09-33c0-ba97-2b5c2439841a,"Langres, France], France",Langres,https://sws.geonames.org/3007680/,France,Grand Est,P
3dc3665f-a961-3750-9efa-3b2c2648332e,"Leesburg? Va.], Virginia",Leesburg,https://sws.geonames.org/4769125/,United States,Virginia,P
c1518e18-f7fb-33e0-be15-39e1c06f79ad,"Lexington, Ky, Kentucky",Lexington,https://sws.geonames.org/4297983/,United States,Kentucky,P
72f42fb3-2fff-359f-93fe-92ac21c80e55,"Lexington, Va, Virginia",Lexington,https://sws.geonames.org/4769352/,United States,Virginia,A
6b82ce93-de72-3d87-a571-7aa33a6433e6,"Lexington, Va.?], Virginia",Lexington,https://sws.geonames.org/4769352/,United States,Virginia,A
84ddd318-13f4-370a-b2c4-a7ffe9ef567f,"Lexington, Va.], Virginia",Lexington,https://sws.geonames.org/4769352/,United States,Virginia,A
01e5939a-1e8b-3b1f-b217-dd4481a6d277,"Lexington? Va, Virginia",Lexington,https://sws.geonames.org/4769352/,United States,Virginia,A
faa0978c-9641-36f9-a764-075941828fcd,"Lexington? Va.], Virginia",Lexington,https://sws.geonames.org/4769352/,United States,Virginia,A
28cef35e-8953-335b-b582-d629ce0099f8,"Lexington?, Virginia",Lexington,https://sws.geonames.org/4769352/,United States,Virginia,A
513b0e2c-08f0-3bcd-ae21-05452d44c8af,"Leyden, Netherlands",Leiden,https://sws.geonames.org/2751773/,The Netherlands,South Holland,P
1aca9288-7cff-33f4-b64a-e924ed290d18,"Livorno, Italy",Livorno,https://sws.geonames.org/3174659/,Italy,Tuscany,P
a41404a7-fa9b-32d4-a41e-72cd6f635fa8,"London :, England",London,https://sws.geonames.org/2643743/,United Kingdom,England,P
0c20b115-da75-321a-90f8-ff4b3fb241ad,"London, England",London,https://sws.geonames.org/2643743/,United Kingdom,England,P
007774e1-b7f8-325e-9eed-7a7c6a3d8b5b,"London, England",London,https://sws.geonames.org/2643743/,United Kingdom,England,P
b330fc2f-5918-3f1e-b523-22503bda614b,"London, New York (State)",,,,,
84ce4f71-7abf-356e-96ff-deb20c4bd63c,"London, Scotland",,,,,
